Name,Alekhine Defense,Amar Opening,Amazon Attack,Anderssen's Opening,Australian Defense,Barnes Defense,Barnes Opening,Benko Gambit,Benko Gambit Accepted,Benko Gambit Declined,Benoni Defense,Bird Opening,Bishop's Opening,Blackmar-Diemer Gambit,Blackmar-Diemer Gambit Accepted,Blackmar-Diemer Gambit Declined,Blumenfeld Countergambit,Blumenfeld Countergambit Accepted,Bogo-Indian Defense,Borg Defense,Canard Opening,Caro-Kann Defense,Carr Defense,Catalan Opening,Center Game,Clemenz Opening,Colle System,Czech Defense,Danish Gambit,Danish Gambit Accepted,Danish Gambit Declined,Duras Gambit,Dutch Defense,East Indian Defense,Elephant Gambit,English Defense,English Opening,English Orangutan,Englund Gambit,Englund Gambit Declined,Four Knights Game,French Defense,Grob Opening,Grünfeld Defense,Gunderam Defense,Horwitz Defense,Hungarian Opening,Indian Defense,Italian Game,Kangaroo Defense,King's Gambit,King's Gambit Accepted,King's Gambit Declined,King's Indian Attack,King's Indian Defense,King's Knight Opening,King's Pawn Game,Kádas Opening,Lasker Simul Special,Latvian Gambit,Latvian Gambit Accepted,Lion Defense,London System,Marienbad System,Mexican Defense,Mieses Opening,Mikenas Defense,Modern Defense,Montevideo Defense,Neo-Grünfeld Defense,Nimzo-Indian Defense,Nimzo-Larsen Attack,Nimzowitsch Defense,Old Indian Defense,Owen Defense,Paleface Attack,Petrov's Defense,Philidor Defense,Pirc Defense,Polish Defense,Polish Opening,Ponziani Opening,Portuguese Opening,Pseudo Queen's Indian Defense,Pterodactyl Defense,Queen's Gambit,Queen's Gambit Accepted,Queen's Gambit Declined,Queen's Indian Accelerated,Queen's Indian Defense,Queen's Pawn Game,"Queen's Pawn, Mengarini Attack",Rapport-Jobava System,"Rapport-Jobava System, with e6",Rat Defense,Richter-Veresov Attack,Robatsch Defense,Rubinstein Opening,Ruy Lopez,Réti Opening,Saragossa Opening,Scandinavian Defense,Scotch Game,Semi-Slav Defense,Semi-Slav Defense Accepted,Sicilian Defense,Slav Defense,Slav Indian,Sodium Attack,St. George Defense,Tarrasch Defense,Three Knights Opening,Torre Attack,Trompowsky Attack,Valencia Opening,Van Geet Opening,Van't Kruijs Opening,"Vienna Gambit, with Max Lange Defense",Vienna Game,Vulture Defense,Wade Defense,Ware Defense,Ware Opening,Yusupov-Rubinstein System,Zukertort Opening
"Short, Nigel D.",1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,7.18,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.95,0.0,0.0,0.0,1.48,9.12,0.0,0.0,0.0,0.0,0.52,0.44,3.37,0.0,0.0,0.87,0.09,0.52,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,1.23,0.69,0.17,0.0,0.09,0.0,3.71,0.09,1.98,0.0,0.09,0.09,0.0,0.0,0.0,0.0,0.09,1.76,0.0,0.36,0.18,0.0,0.17,0.0,0.09,0.09,0.0,0.0,15.6,0.0,0.0,0.52,0.0,0.18,0.0,41.57,0.44999999999999996,0.0,0.0,0.0,0.09,0.0,0.26,0.26,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.18
"Sokolov, Ivan",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.7,0.87,1.84,0.0,0.0,0.0,0.0,0.0,0.09,0.09,2.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.56,0.0,0.0,0.7,2.54,0.0,0.0,0.0,0.0,0.53,0.0,7.8999999999999995,0.0,0.26,0.0,0.71,0.0,1.39,0.0,0.0,0.0,0.26,10.879999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.09,0.8700000000000001,0.0,0.09,19.02,0.0,0.09,0.61,0.0,0.0,0.0,0.18,0.35,0.0,0.0,0.0,0.0,0.0,0.09,0.0,4.87,13.26,0.0,4.69,2.17,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,8.709999999999999,0.0,0.09,8.51,0.0,0.0,0.0,0.27,0.0,1.22,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0
"Ftacnik, Lubomir",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,2.92,0.0,0.0,0.0,0.0,0.0,0.27,0.0,4.15,0.0,0.0,0.36,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.29,0.0,0.0,0.09,20.2,0.0,0.0,0.0,0.0,0.0,0.0,5.74,0.0,0.97,0.0,2.29,0.0,0.09,0.0,0.0,0.0,0.35,13.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.0,0.27,1.24,0.09,0.0,0.7,0.0,0.0,0.0,0.09,0.18,0.0,0.0,0.0,0.0,0.09,0.0,0.0,1.6900000000000002,9.65,0.0,6.45,2.38,0.0,0.0,0.0,0.26,0.0,0.09,0.0,0.0,0.62,0.0,0.0,0.0,5.83,0.0,0.71,6.89,0.18,0.0,0.0,1.43,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.0,0.0,0.0,2.11
"Gelfand, Boris",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.09,1.44,0.0,0.09,0.09,0.0,0.0,0.18,0.0,3.96,0.0,0.0,1.26,0.0,10.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8900000000000001,0.27,0.0,0.44999999999999996,10.89,0.0,0.0,0.0,0.0,0.8999999999999999,0.0,4.76,0.0,0.27,0.0,1.3499999999999999,0.54,0.27,0.0,0.0,0.0,0.45,9.09,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.09,0.0,0.0,0.0,0.0,0.36,0.0,0.72,5.31,0.0,0.0,0.44999999999999996,0.0,0.0,0.44999999999999996,0.09,0.54,0.0,0.0,0.0,0.0,0.09,0.0,0.0,3.51,9.45,0.09,7.5600000000000005,1.26,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.8999999999999999,0.18,0.0,0.0,0.09,6.93,0.0,1.8,9.18,0.27,0.0,0.0,0.63,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.63
"Kozul, Zdenko",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.18,0.09,4.5,0.0,0.0,0.0,0.0,0.0,0.9099999999999999,0.0,7.43,0.0,0.0,0.27,0.0,10.370000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.02,0.0,0.0,0.55,2.91,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0.0,0.09,0.09,3.4800000000000004,0.0,0.55,0.0,0.0,0.0,2.85,10.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.73,0.0,0.18,2.48,0.0,0.0,0.63,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.49,7.7,0.0,5.78,1.19,0.0,0.0,0.0,0.09,0.09,0.0,0.0,0.0,1.47,0.0,0.0,0.0,7.99,0.0,0.09,8.56,0.37,0.0,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.09,1.2000000000000002
"Hort, Vlastimil",0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.18,1.35,0.0,3.95,0.27,0.09,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,3.87,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08,0.09,0.0,0.09,9.86,0.0,0.0,0.0,0.99,3.69,0.0,3.06,0.0,0.18,0.27,1.53,0.27,0.0,0.0,0.0,0.0,1.26,11.84,0.0,0.09,0.0,0.0,0.0,0.0,0.09,0.27,0.0,0.0,0.0,0.0,1.96,0.0,0.45,6.47,0.09,0.09,0.44999999999999996,0.0,0.0,0.44999999999999996,0.09,1.8900000000000001,0.0,0.27,0.0,0.0,0.18,0.0,0.0,0.99,6.18,0.0,3.2399999999999998,1.8,0.0,0.0,0.0,0.18,0.09,0.0,0.0,4.4,0.54,0.09,0.09,0.72,1.6199999999999999,0.0,15.61,2.25,0.0,0.0,0.0,1.53,0.09,0.72,1.1600000000000001,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.09,0.36
"Uhlmann, Wolfgang",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.09,0.0,3.42,0.0,0.0,0.0,0.0,0.0,0.09,0.0,2.32,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.78,0.0,0.0,0.0,32.33,0.0,0.0,0.0,0.0,0.18,0.0,3.5,0.0,0.18,0.0,0.63,0.0,0.09,0.0,0.0,0.0,0.09,14.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.09,1.7000000000000002,0.0,0.18,3.04,0.0,0.0,1.6099999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.23,11.56,0.0,3.86,0.8099999999999999,0.0,0.0,0.0,0.45,0.0,0.09,0.0,0.0,0.18,0.0,0.0,0.0,5.5600000000000005,0.0,1.61,4.390000000000001,0.0,0.0,0.0,1.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09
"Anand, Viswanathan",0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,5.64,0.0,0.54,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.0,1.99,0.0,0.0,0.0,0.18,8.11,0.0,1.27,0.0,0.0,0.0,0.27,2.9299999999999997,0.0,0.0,0.0,0.0,0.09,0.9099999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,1.3599999999999999,0.0,0.27,0.99,0.0,0.0,0.0,0.0,0.0,5.57,0.09,1.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,2.8,0.0,1.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.33,0.09,0.0,0.44999999999999996,0.27,0.73,0.0,32.26,1.54,0.0,0.0,0.0,0.18,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09
"Smyslov, Vasily",0.8300000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3699999999999999,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.0,2.74,0.0,3.68,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.99,0.28,0.0,0.0,18.14,0.0,0.0,0.0,0.36,4.21,0.0,1.82,0.0,0.09,0.28,3.22,0.0,0.09,0.0,0.0,0.0,4.32,6.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,0.55,0.0,1.09,3.56,0.37,0.0,0.44999999999999996,0.0,0.0,0.18,0.09,0.9199999999999999,0.0,0.0,0.0,0.0,0.09,0.09,0.0,0.54,4.26,0.09,2.01,0.73,0.0,0.0,0.0,0.0,0.18,0.0,0.0,8.43,0.8200000000000001,0.0,0.09,0.09,1.54,0.0,16.69,1.09,0.0,0.0,0.0,1.28,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.28,0.0,0.0,0.18,2.59
"Svidler, Peter",0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.09,0.27,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,6.5600000000000005,0.0,0.36,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,7.12,0.0,0.0,0.0,0.73,8.63,0.0,1.28,0.0,0.0,0.45999999999999996,0.36,1.6400000000000001,0.0,0.0,0.09,0.0,2.28,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.9099999999999999,0.0,0.36,0.27,0.0,0.09,0.0,0.09,0.0,4.29,0.37,1.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,2.9,0.0,0.45,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.55,0.27,0.0,0.72,1.18,1.26,0.0,30.73,0.91,0.0,0.0,0.0,0.27,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54
