Name,Alekhine Defense,Amar Opening,Amazon Attack,Anderssen's Opening,Australian Defense,Barnes Defense,Barnes Opening,Benko Gambit,Benko Gambit Accepted,Benko Gambit Declined,Benoni Defense,Bird Opening,Bishop's Opening,Blackmar-Diemer Gambit,Blackmar-Diemer Gambit Accepted,Blackmar-Diemer Gambit Declined,Blumenfeld Countergambit,Blumenfeld Countergambit Accepted,Bogo-Indian Defense,Borg Defense,Canard Opening,Caro-Kann Defense,Carr Defense,Catalan Opening,Center Game,Clemenz Opening,Colle System,Czech Defense,Danish Gambit,Danish Gambit Accepted,Danish Gambit Declined,Duras Gambit,Dutch Defense,East Indian Defense,Elephant Gambit,English Defense,English Opening,English Orangutan,Englund Gambit,Englund Gambit Declined,Four Knights Game,French Defense,Grob Opening,Grünfeld Defense,Gunderam Defense,Horwitz Defense,Hungarian Opening,Indian Defense,Italian Game,Kangaroo Defense,King's Gambit,King's Gambit Accepted,King's Gambit Declined,King's Indian Attack,King's Indian Defense,King's Knight Opening,King's Pawn Game,Kádas Opening,Lasker Simul Special,Latvian Gambit,Latvian Gambit Accepted,Lion Defense,London System,Marienbad System,Mexican Defense,Mieses Opening,Mikenas Defense,Modern Defense,Montevideo Defense,Neo-Grünfeld Defense,Nimzo-Indian Defense,Nimzo-Larsen Attack,Nimzowitsch Defense,Old Indian Defense,Owen Defense,Paleface Attack,Petrov's Defense,Philidor Defense,Pirc Defense,Polish Defense,Polish Opening,Ponziani Opening,Portuguese Opening,Pseudo Queen's Indian Defense,Pterodactyl Defense,Queen's Gambit,Queen's Gambit Accepted,Queen's Gambit Declined,Queen's Indian Accelerated,Queen's Indian Defense,Queen's Pawn Game,"Queen's Pawn, Mengarini Attack",Rapport-Jobava System,"Rapport-Jobava System, with e6",Rat Defense,Richter-Veresov Attack,Robatsch Defense,Rubinstein Opening,Ruy Lopez,Réti Opening,Saragossa Opening,Scandinavian Defense,Scotch Game,Semi-Slav Defense,Semi-Slav Defense Accepted,Sicilian Defense,Slav Defense,Slav Indian,Sodium Attack,St. George Defense,Tarrasch Defense,Three Knights Opening,Torre Attack,Trompowsky Attack,Valencia Opening,Van Geet Opening,Van't Kruijs Opening,"Vienna Gambit, with Max Lange Defense",Vienna Game,Vulture Defense,Wade Defense,Ware Defense,Ware Opening,Yusupov-Rubinstein System,Zukertort Opening
"Donner, Jan-Hein",0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.45,0.0,8.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.6,0.0,1.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.15,1.7999999999999998,0.0,0.0,0.0,0.15,0.3,0.0,3.74,0.0,0.3,0.0,5.65,0.0,0.15,0.0,0.0,0.0,0.3,17.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,2.6799999999999997,0.0,2.98,27.05,0.0,0.0,1.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,2.98,6.42,0.3,1.05,0.74,0.0,0.0,0.0,0.45,0.0,0.0,0.0,1.3399999999999999,0.3,0.0,0.0,0.0,2.2399999999999998,0.59,1.05,2.1,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Jobava, Baadur",0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.29,0.0,1.42,0.14,0.0,0.0,0.0,0.0,0.14,0.0,0.8500000000000001,0.0,0.0,3.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5700000000000001,0.0,0.0,0.0,10.87,0.0,0.0,0.0,0.0,2.3,0.0,2.14,0.0,0.0,0.0,0.42000000000000004,5.3,0.0,0.0,0.0,0.0,0.29,4.16,0.0,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.5700000000000001,0.0,0.5700000000000001,6.03,6.91,0.14,0.14,0.0,0.0,0.8500000000000001,0.0,0.58,0.0,0.0,1.0,0.0,0.0,0.14,0.0,0.8500000000000001,7.46,0.0,4.29,0.99,0.0,3.17,0.0,0.28,0.0,0.0,0.0,2.56,0.28,0.0,0.28,1.1400000000000001,4.15,0.0,13.18,6.74,0.0,0.0,0.0,0.28,0.0,0.0,2.8899999999999997,0.0,0.14,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.14
"Matulovic, Milan",1.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.08,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.42000000000000004,0.0,0.0,0.14,2.8000000000000003,0.0,0.0,0.0,0.0,9.9,0.0,0.0,0.14,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.23,0.0,0.0,0.0,0.0,0.28,0.0,0.14,0.0,1.53,0.98,4.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8400000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.78,0.14,0.0,1.4000000000000001,0.0,0.28,0.0,40.77,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Jakovenko, Dmitry",0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,4.63,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44999999999999996,0.0,0.0,0.0,8.97,0.0,0.0,0.0,0.0,5.6899999999999995,0.0,2.55,0.0,0.15,0.0,0.3,1.94,0.3,0.0,0.0,0.0,0.3,4.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8999999999999999,0.0,0.6000000000000001,2.4,0.0,0.0,0.3,0.0,0.0,3.59,0.3,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7999999999999998,5.24,0.0,2.4,0.3,0.0,0.0,0.0,0.15,0.0,0.0,0.0,14.06,0.0,0.0,0.0,0.3,3.8899999999999997,0.0,23.44,5.3999999999999995,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75
"Van der Wiel, John TH",2.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.739999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91,12.59,0.0,0.0,0.0,0.0,0.0,0.45,1.66,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.12,0.0,0.0,0.15,0.0,0.15,0.15,0.0,0.0,2.12,0.45,3.8,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.3,0.15,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.209999999999999,0.0,0.0,1.06,6.22,0.0,0.0,44.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Smejkal, Jan",0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.15,0.0,0.0,1.72,0.0,4.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.42,0.0,0.0,0.0,34.94,0.0,0.0,0.0,0.0,1.0,0.0,1.71,0.0,0.0,0.14,0.42000000000000004,0.0,0.0,0.0,0.0,0.0,4.33,12.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.0,2.16,0.56,0.0,0.0,0.58,0.0,0.0,0.0,0.28,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,3.99,0.0,3.02,0.5700000000000001,0.0,0.0,0.0,0.0,0.29,0.0,0.0,3.86,0.8500000000000001,0.0,0.14,0.14,1.28,0.0,6.14,2.87,0.0,0.0,0.0,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,3.46
"Nevednichy, Vladislav",1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,2.3,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,8.03,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.96,0.0,0.0,0.0,0.0,10.04,0.0,0.14,0.0,0.0,0.14,0.0,14.11,0.0,0.0,0.0,0.0,0.29,0.71,0.29,0.14,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,1.15,0.0,0.14,0.0,0.0,0.0,0.0,0.14,0.0,1.0,1.73,3.01,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,2.0,0.5700000000000001,0.0,0.0,45.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5700000000000001
"Panno, Oscar",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.32,0.0,3.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.64,0.0,1.7200000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.34,0.0,0.0,0.16,26.7,0.0,0.0,0.0,0.0,0.16,0.0,2.05,0.0,0.16,0.31,1.42,0.0,0.0,0.0,0.0,0.0,2.18,16.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,1.72,0.0,1.73,8.14,0.32,0.0,0.48,0.0,0.0,0.0,0.16,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.05,6.61,0.16,2.52,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,1.25,0.0,0.0,0.0,3.14,0.0,3.46,2.19,0.16,0.0,0.0,1.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.0,3.6
"Kupreichik, Viktor D.",2.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.29,0.0,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.21,0.0,0.0,0.0,0.0,12.700000000000001,0.0,0.15,0.0,0.0,0.29,0.3,1.05,0.0,0.0,0.0,0.0,0.0,0.44999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,2.05,0.0,0.15,0.3,0.0,0.0,0.0,0.0,0.0,3.22,1.02,2.03,0.0,0.15,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.3,0.15,0.0,0.0,0.0,0.0,0.3,0.0,0.0,20.4,0.0,0.0,1.46,2.5,0.3,0.0,39.519999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Shabalov, Alexander",0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.0,0.94,0.16,0.32,0.0,0.0,0.0,0.0,0.0,1.72,0.0,0.0,5.15,0.0,0.94,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,3.3,0.0,0.0,0.0,0.79,6.43,0.0,1.88,0.0,0.0,0.0,0.8,0.48,0.0,0.0,0.32,0.16,0.9500000000000001,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.57,0.0,0.78,5.78,0.0,0.47000000000000003,0.47,0.16,0.0,1.1,0.0,1.0899999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.26,5.640000000000001,0.0,1.43,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.16,9.09,0.16,0.0,1.25,1.4100000000000001,2.99,0.0,28.419999999999998,4.390000000000001,0.0,0.0,0.0,0.16,0.0,0.32,0.47,0.0,0.0,0.0,0.32,0.16,0.0,0.31,0.0,0.0,0.0,0.16
"L'Ami, Erwin",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9299999999999999,0.0,2.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7600000000000002,0.0,0.0,0.76,0.0,2.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.21,0.0,0.0,0.0,3.65,0.0,0.0,0.0,0.0,1.98,0.0,3.82,0.0,0.0,0.0,1.8399999999999999,0.3,0.15,0.0,0.0,0.0,0.15,11.15,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.76,0.0,0.77,9.0,0.0,0.0,0.0,0.0,0.0,0.3,0.45999999999999996,0.9199999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5300000000000002,12.540000000000001,0.0,7.96,1.6800000000000002,0.0,0.0,0.0,0.46,0.0,0.0,0.0,4.29,0.0,0.0,0.3,0.0,4.26,0.0,6.23,9.93,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.15
"Gheorghiu, Florin",0.44999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.0,2.3000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.99,0.0,0.0,3.08,0.0,1.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.22,0.0,0.0,0.0,16.14,0.0,0.0,0.0,0.0,3.36,0.0,3.37,0.0,0.46,0.0,0.77,0.15,0.0,0.0,0.44999999999999996,0.15,0.62,12.18,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.77,0.0,0.62,3.69,0.0,0.0,0.77,0.0,0.0,0.15,0.46,1.07,0.0,0.0,0.0,0.0,0.0,0.3,0.0,2.6,8.14,0.0,6.76,0.3,0.0,0.0,0.0,0.15,0.0,0.0,0.0,7.64,0.15,0.0,0.0,0.15,1.98,0.0,9.18,2.62,0.15,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77
"Yu, Yangyi",0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44999999999999996,0.0,0.0,5.92,0.0,3.1900000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44999999999999996,0.15,0.0,0.0,5.4399999999999995,0.0,0.0,0.0,1.6600000000000001,6.64,0.0,2.88,0.0,0.0,0.0,0.15,2.87,0.0,0.0,0.0,0.0,1.51,2.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.6,4.4,0.0,0.15,0.0,0.0,0.0,3.78,0.15,0.44999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,5.28,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.37,0.15,0.0,0.6,3.8,1.3599999999999999,0.0,22.12,3.46,0.0,0.0,0.0,0.3,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.76,0.0,0.0,0.0,0.0,0.0,0.45
"Bareev, Evgeny",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.03,0.3,1.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8200000000000003,0.0,0.0,0.44999999999999996,0.0,3.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.78,0.0,0.0,0.6,8.77,0.0,0.0,0.0,0.0,0.44999999999999996,0.0,6.6499999999999995,0.0,0.0,0.15,1.3399999999999999,0.0,0.44999999999999996,0.0,0.0,0.0,1.04,11.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.74,18.23,0.0,0.0,0.44999999999999996,0.0,0.0,0.0,0.0,2.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.86,7.7299999999999995,0.0,3.27,1.78,0.0,0.0,0.0,0.44999999999999996,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,8.47,0.0,0.0,8.46,0.0,0.0,0.0,0.75,0.0,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.44999999999999996
"Zelcic, Robert",0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.14,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.34,13.53,0.0,0.0,0.0,0.0,0.0,0.0,3.3899999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4899999999999998,0.0,0.0,0.0,0.0,0.73,0.0,0.15,0.0,3.2199999999999998,2.78,0.89,0.0,0.0,0.43999999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.26,0.0,0.0,2.21,7.619999999999999,0.0,0.0,49.839999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Sargissian, Gabriel",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,1.81,0.0,0.0,0.0,0.0,0.0,0.3,0.15,3.1799999999999997,0.0,0.0,0.44999999999999996,0.0,4.390000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.65,0.15,0.0,0.0,8.75,0.0,0.0,0.0,0.0,0.3,0.0,4.37,0.0,0.0,0.0,2.87,0.0,0.15,0.0,0.0,0.0,1.51,9.969999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.6,0.0,1.21,6.51,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,3.01,13.47,0.0,7.4,2.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.15,0.0,0.0,0.0,6.36,0.15,1.2,12.86,0.0,0.0,0.0,0.6,0.0,0.3,1.6600000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.44999999999999996
"Kasparov, Garry",0.9600000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12,0.0,0.16,0.0,0.0,0.0,0.0,0.0,2.06,0.0,0.0,3.32,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12,0.0,0.0,0.16,8.28,0.0,0.0,0.0,0.0,4.13,0.0,1.1,0.0,0.0,0.0,0.8,0.96,0.0,0.0,0.0,0.0,0.0,2.71,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.16,0.0,0.16,0.0,0.0,0.48000000000000004,0.0,0.16,8.38,0.0,0.0,0.48,0.0,0.0,3.48,0.32,0.48,0.0,0.0,0.0,0.0,0.32,0.0,0.0,1.74,10.629999999999999,0.0,6.33,0.32,0.0,0.0,0.0,0.16,0.0,0.16,0.0,10.59,0.0,0.0,0.16,3.0100000000000002,2.69,0.0,15.04,4.76,0.16,0.0,0.0,0.8,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.16
"Malaniuk, Vladimir P.",0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,2.72,1.75,0.0,0.0,0.0,0.0,0.32,0.0,3.6500000000000004,0.0,0.0,1.44,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.92,2.7,0.0,0.0,3.35,0.0,0.0,0.0,0.16,4.47,0.0,2.39,0.0,0.16,0.32,4.29,0.8,0.32,0.0,0.16,0.0,0.9500000000000001,7.010000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.32,0.0,0.0,1.12,0.0,0.48,8.59,0.32,0.32,0.64,0.0,0.0,0.16,0.32,1.28,0.0,0.0,0.0,0.0,0.32,0.0,0.0,4.14,9.09,0.0,4.14,2.87,0.0,0.0,0.0,0.0,0.0,0.0,0.64,1.44,0.32,0.0,0.0,0.0,4.47,0.0,4.8,6.07,0.0,0.0,0.0,0.0,0.0,4.77,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,3.02,0.48000000000000004
"Volokitin, Andrei",0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,8.5,0.0,0.9199999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,11.73,0.0,0.15,0.0,0.0,0.0,0.0,6.03,0.0,0.0,0.0,0.0,0.0,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,5.85,1.54,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.44999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.23,0.0,0.0,0.44999999999999996,0.92,0.15,0.0,32.71,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Westerinen, Heikki MJ",2.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.16,9.92,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,2.24,1.76,0.16,0.32,0.0,0.16,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.64,0.0,5.12,0.0,0.0,0.32,0.0,0.16,0.0,0.16,0.0,0.96,0.64,3.84,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.16,0.0,0.0,0.0,0.16,0.0,0.0,0.0,16.48,0.0,0.0,0.48,0.16,0.0,0.0,45.92,0.16,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.0,0.0,0.0,0.0,0.0,0.32
"Granda Zuniga, Julio E.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.0,2.51,0.47000000000000003,0.0,0.0,0.0,0.0,0.0,0.16,2.6599999999999997,0.0,0.0,1.1099999999999999,0.0,0.48,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.26,0.31,0.0,0.31,15.92,0.0,0.0,0.0,0.0,1.11,0.0,1.8900000000000001,0.0,0.16,1.57,3.6,0.0,0.32,0.0,0.0,0.0,4.21,9.26,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,1.4100000000000001,0.0,1.71,8.27,3.5900000000000003,0.0,0.16,0.0,0.0,0.16,0.47000000000000003,0.63,0.0,0.0,0.0,0.0,0.0,0.16,0.0,2.2,5.2,0.16,5.0,1.73,0.0,0.0,0.0,0.16,0.16,0.0,0.16,1.74,1.4100000000000001,0.0,0.0,0.63,4.07,0.0,3.8,5.15,0.0,0.0,0.0,0.94,0.0,0.32,0.16,0.0,0.0,0.0,0.0,0.16,0.0,0.47,0.0,0.0,0.16,2.04
"Ganguly, Surya Shekhar",0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.8699999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,7.48,0.0,2.45,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.56,0.0,0.0,0.14,4.29,0.0,0.0,0.0,0.72,7.74,0.0,0.8500000000000001,0.0,0.0,0.0,0.5700000000000001,5.6,0.0,0.0,0.0,0.0,1.5699999999999998,1.2999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.72,0.0,1.01,2.0,0.14,0.43,0.14,0.0,0.0,2.57,1.16,0.58,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.42000000000000004,1.28,0.14,0.0,0.14,0.0,0.14,0.0,0.0,0.0,0.0,0.0,10.75,0.0,0.0,0.5700000000000001,2.87,1.55,0.0,33.37,2.29,0.0,0.0,0.0,0.14,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5699999999999998
"Malakhov, Vladimir",0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.61,0.0,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.15,0.0,0.0,22.31,0.0,0.0,0.0,1.07,3.21,0.0,0.76,0.0,0.0,0.31,0.44999999999999996,4.62,0.15,0.0,0.0,0.0,7.090000000000001,2.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.92,1.6800000000000002,0.15,0.15,0.0,0.0,0.0,0.15,0.15,1.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,2.59,0.0,0.46,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.15,3.37,1.06,0.0,0.15,0.0,1.38,0.0,25.21,6.16,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.220000000000001
