Gemeinde,Sprachgebiet,Kanton,Bezirk,Artikel zur Gleichstellung von Mann und Frau,Konsumentenschutz-Artikel,Weiterführung der Finanzordnung,Revision des Strafgesetzes (Gewaltverbrechen),Ausländergesetz,Preisüberwachungs-Initiative,Gegenentwurf zur Preisüberwachungs-Initiative,Neuregelung der Treibstoffzölle,Energieartikel,Reform der Bürgerrechtsregelung in der Bundesverfassung,Bundesbeschluss über die Erleichterung gewisser Einbürgerungen,Einführung einer Schwerverkehrsabgabe,Einführung der Autobahnvignette,Zivildienst-Initiative,Initiative «gegen den Missbrauch des Bankgeheimnisses und der Bankenmacht»,Initiative «Gegen den Ausverkauf der Heimat»,Initiative «für eine Zukunft ohne weitere Atomkraftwerke»,Initiative «für eine umweltgerechte Energieversorgung»,Initiative «für einen wirksamen Schutz der Mutterschaft»,Radio- und Fernsehartikel,Bundesbeschluss über die Entschädigung der Opfer von Gewaltverbrechen,Aufhebung der Bundesbeiträge für den Primarschulunterricht
Aeugst am Albis,Deutsches Sprachgebiet,Zürich,Bezirk Affoltern,49.39341421,49.04679376,39.77086743,47.34299517,47.02093398,42.97124601,42.97124601,42.04724409,42.20472441,47.19626168,47.6635514,52.61538462,52.61538462,52.15384615,55.3030303,55.15151515,58.75190259,58.59969559,47.85276074,47.6993865,47.85276074,43.73088685
Affoltern am Albis,Deutsches Sprachgebiet,Zürich,Bezirk Affoltern,34.27250715,33.92031697,34.71289274,37.67838126,37.72097977,29.49957948,29.49957948,31.64503977,31.54039347,39.03035241,39.37665512,53.61641609,53.53514831,53.63673304,44.43996777,44.3190975,43.57898942,43.47912922,35.38308458,35.06467662,35.26368159,34.52006294
Bonstetten,Deutsches Sprachgebiet,Zürich,Bezirk Affoltern,41.17647059,40.8929837,44.25476034,61.9078105,61.52368758,37.72642099,37.72642099,42.89230769,42.95384615,58.36782969,58.4861029,66.48904677,66.48904677,66.37063351,52.33589592,52.39503253,53.24751317,53.24751317,44.69339623,44.45754717,44.5754717,49.14353219
Hausen am Albis,Deutsches Sprachgebiet,Zürich,Bezirk Affoltern,33.83458647,33.68421053,41.08695652,42.75717285,42.68719384,33.51724138,33.51724138,42.24376731,41.966759,46.46194927,46.92923899,63.11962987,63.11962987,63.51619299,47.12871287,47.19471947,53.97543633,53.97543633,44.44444444,44.12144703,44.50904393,41.7996171
Hedingen,Deutsches Sprachgebiet,Zürich,Bezirk Affoltern,36.59919028,36.68016194,36.84210526,40.38004751,40.38004751,31.39904611,31.39904611,37.12948518,37.12948518,41.00156495,41.23630673,56.90607735,56.74822415,56.98500395,45.44049459,45.28593509,46.75324675,46.60045837,35.37051184,33.53705118,34.91214668,40.53639847
Kappel am Albis,Deutsches Sprachgebiet,Zürich,Bezirk Affoltern,51.21293801,50.40431267,52.75590551,55.40897098,54.88126649,37.76595745,37.76595745,50.93333333,50.93333333,49.87080103,50.12919897,69.64285714,69.13265306,69.64285714,51.42118863,51.67958656,62.1483376,61.63682865,48.49246231,48.24120603,48.24120603,52.09876543
Knonau,Deutsches Sprachgebiet,Zürich,Bezirk Affoltern,58.88324873,58.71404399,55.89225589,58.00344234,57.65920826,53.57766143,53.57766143,59.89583333,60.24305556,62.30366492,62.65270506,73.51916376,73.34494774,73.51916376,67.30434783,67.30434783,72.93103448,73.27586207,61.74957118,60.72041166,61.92109777,65.40447504
Maschwanden,Deutsches Sprachgebiet,Zürich,Bezirk Affoltern,52.44755245,52.7972028,57.24137931,60.2739726,58.21917808,50.67567568,50.67567568,59.5890411,58.90410959,56.36942675,56.68789809,76.50793651,76.50793651,76.19047619,64.3533123,62.14511041,65.71428571,65.07936508,59.87261147,58.28025478,59.87261147,61.09324759
Mettmenstetten,Deutsches Sprachgebiet,Zürich,Bezirk Affoltern,44.5229682,44.09893993,41.13968033,48.31383345,48.52030282,37.45774172,37.45774172,41.36786189,40.70385126,47.03363914,47.1559633,60.69711539,60.81730769,60.81730769,47.56820878,47.39027284,50,49.94103774,47.106955,46.63939217,46.87317358,48.20482637
Obfelden,Deutsches Sprachgebiet,Zürich,Bezirk Affoltern,31.37860082,31.22427984,30.37525355,35.36463537,35.41458542,26.47058824,26.47058824,33.02393747,32.7308256,37.11194732,37.2060207,52.64900662,52.64900662,52.50709555,38.71268657,38.66604478,43.3056325,43.25946445,31.97807218,32.02375514,31.93238922,35.03616637
Ottenbach,Deutsches Sprachgebiet,Zürich,Bezirk Affoltern,36.45374449,36.67400881,29.10284464,35.30031612,34.35194942,28.82599581,28.82599581,34.77366255,34.36213992,36.29343629,36.003861,60.56872038,60.66350711,60.47393365,40.93067426,40.64577398,44.47619048,44.38095238,32.54716981,32.45283019,32.54716981,39.05817175
Rifferswil,Deutsches Sprachgebiet,Zürich,Bezirk Affoltern,64.37994723,64.11609499,61.2987013,71.76165803,71.76165803,53.76884422,53.76884422,60.94527363,60.44776119,64.23173804,64.4836272,74.87562189,74.62686567,74.62686567,67.74193548,67.49379653,73.43358396,73.43358396,71.39240506,70.88607595,71.39240506,68.35443038
Stallikon,Deutsches Sprachgebiet,Zürich,Bezirk Affoltern,39.11637931,39.00862069,34.54545455,42.52631579,42.42105263,30.75356416,30.75356416,39.64143426,39.64143426,49.27255092,49.27255092,57.87439614,57.87439614,57.87439614,51.63461539,51.44230769,50.94161959,50.37664783,38.96103896,38.7755102,38.96103896,41.38888889
Wettswil am Albis,Deutsches Sprachgebiet,Zürich,Bezirk Affoltern,43.96848843,43.72230428,42.93320426,46.80150517,46.66039511,36.71655753,36.71655753,49.2357573,49.14312182,62.24954463,62.34061931,64.71123238,64.57480673,64.62028195,55.9566787,55.86642599,53.95327943,53.9083558,44.13082437,43.63799283,43.8172043,45.75892857
Benken (ZH),Deutsches Sprachgebiet,Zürich,Bezirk Andelfingen,75.69060774,75.41436464,65.08379888,75.13227513,75.66137566,64.73684211,64.73684211,70.02583979,70.02583979,70.12345679,70.12345679,81.09452736,80.84577114,80.84577114,75.24509804,75.24509804,74.81662592,74.81662592,72.01946472,71.53284672,71.77615572,73.67149759
Berg am Irchel,Deutsches Sprachgebiet,Zürich,Bezirk Andelfingen,66.15969582,64.63878327,69.02985075,70.22058824,70.22058824,68.23104693,68.23104693,68.10035842,67.38351255,66.43109541,63.95759717,82.80701754,83.85964912,84.56140351,72.82229965,73.17073171,79.56989247,79.56989247,70.03484321,68.64111498,69.33797909,76.65505227
Buch am Irchel,Deutsches Sprachgebiet,Zürich,Bezirk Andelfingen,52.5477707,52.22929936,47.92332268,64.96815287,64.01273885,47.3015873,47.3015873,56.73076923,56.08974359,51.93548387,52.25806452,73.13915858,72.49190939,73.13915858,50.1607717,50.80385852,61.56351792,61.56351792,53.09446254,52.11726384,53.09446254,54.77707006
Dachsen,Deutsches Sprachgebiet,Zürich,Bezirk Andelfingen,62.8422425,62.32073012,57.48031496,66.53645833,66.66666667,57.32323232,57.32323232,61.21673004,61.21673004,57.08812261,56.96040869,73.48484849,73.48484849,73.35858586,68.29573935,67.79448622,67.90582404,67.90582404,62.18905473,61.69154229,62.31343284,63.39066339
Dorf,Deutsches Sprachgebiet,Zürich,Bezirk Andelfingen,59.13461539,57.21153846,62.78026906,71.68141593,71.68141593,56.08695652,56.08695652,70.25862069,71.12068966,65.16393443,65.16393443,76.42276423,76.42276423,77.64227642,60.91954023,61.68582376,73.46153846,73.07692308,58.49056604,56.98113208,58.49056604,66.41509434
Feuerthalen,Deutsches Sprachgebiet,Zürich,Bezirk Andelfingen,38.9709907,38.91625616,36.38356164,41.87845304,41.93370166,40.54809843,40.54809843,45.04201681,44.87394958,39.5297977,39.63914708,63.8215859,63.8215859,63.8215859,44.86187845,44.75138122,46.94551458,46.94551458,42.55672385,42.44604317,42.55672385,45.74763758
Flaach,Deutsches Sprachgebiet,Zürich,Bezirk Andelfingen,60,59.3220339,60.88435374,66.32996633,67.17171717,62.43739566,62.43739566,65.43624161,64.76510067,61.93656094,62.60434057,82.36272879,81.69717138,82.02995008,58.56443719,58.40130506,73.42995169,72.30273752,65.16853933,64.84751204,64.52648475,64.9122807
Flurlingen,Deutsches Sprachgebiet,Zürich,Bezirk Andelfingen,66.50717703,66.50717703,67.40858506,69.77848101,70.09493671,66.77067083,66.77067083,66.25766871,65.95092025,69.04761905,69.3452381,76.75438597,76.75438597,77.04678363,71.22302158,71.07913669,74.23398329,74.23398329,65.56927298,65.43209877,65.56927298,69.00420757
Henggart,Deutsches Sprachgebiet,Zürich,Bezirk Andelfingen,57.1875,57.1875,60.56338028,61.38147567,61.06750393,60.81504702,60.81504702,63.53677621,63.38028169,59.2476489,59.2476489,77.83018868,77.83018868,77.98742138,65.88419405,66.1971831,70.29548989,70.45101089,63.79044684,63.79044684,63.79044684,64.04320988
Kleinandelfingen,Deutsches Sprachgebiet,Zürich,Bezirk Andelfingen,43.15789474,42.69005848,51.98135198,57.42232451,57.42232451,43.50797267,43.50797267,50.56433409,50.45146727,49.4949495,49.4949495,71.20359955,71.54105737,71.31608549,55.48098434,55.36912752,57.41789355,57.41789355,54.56595265,54.34047351,54.56595265,59.5505618
Laufen-Uhwiesen,Deutsches Sprachgebiet,Zürich,Bezirk Andelfingen,46.94894147,46.82440847,48.84848485,49.64114833,49.88038278,46.48910412,46.48910412,52.03836931,51.558753,50.11904762,49.64285714,63.1391201,63.02021403,62.90130797,56.67447307,56.67447307,66.35622817,66.35622817,53.34101383,53.34101383,53.34101383,49.76905312
Marthalen,Deutsches Sprachgebiet,Zürich,Bezirk Andelfingen,41.01433297,41.01433297,42.07650273,51.38592751,51.06609808,39.07074974,39.07074974,48.89357218,49.10432034,59.24369748,59.45378151,64.958159,64.958159,65.16736402,51.46137787,51.46137787,61.92946058,61.82572614,46.74922601,46.54282766,46.74922601,66.12077789
Ossingen,Deutsches Sprachgebiet,Zürich,Bezirk Andelfingen,59.7133758,59.55414013,61.67192429,66.87797147,67.19492869,59.59438378,59.59438378,67.95069337,67.48844376,62.51851852,62.81481482,79.16041979,79.6101949,79.01049475,66.18287373,66.03773585,74.81910275,74.81910275,63.80813954,63.08139535,63.6627907,64.53488372
Rheinau,Deutsches Sprachgebiet,Zürich,Bezirk Andelfingen,44.41624366,44.16243655,46.73495519,53.6939314,53.56200528,46.23513871,46.23513871,49.08136483,49.08136483,59.55497382,60.07853403,63.69593709,63.95806029,63.95806029,52.88713911,52.75590551,57.32647815,57.19794345,49.48186529,49.35233161,49.35233161,56.65796345
Thalheim an der Thur,Deutsches Sprachgebiet,Zürich,Bezirk Andelfingen,63.58208955,63.28358209,65.58823529,69.32153392,68.43657817,61.17647059,61.17647059,63.55685131,64.13994169,66.09195402,66.37931035,81.42857143,80.85714286,80.85714286,67.53623188,67.82608696,71.71428571,71.71428571,60.79545455,60.22727273,61.36363636,63.35227273
Trüllikon,Deutsches Sprachgebiet,Zürich,Bezirk Andelfingen,62.77128548,62.60434057,56.8369028,58.88157895,58.88157895,50.08210181,50.08210181,53.10457516,52.94117647,59.01639344,59.01639344,67.42301459,67.42301459,67.7471637,50.32467533,49.83766234,60.86261981,61.02236422,52.63975155,52.48447205,52.79503106,56.11620795
Truttikon,Deutsches Sprachgebiet,Zürich,Bezirk Andelfingen,69.77777778,70.22222222,61.66666667,65.72580645,67.33870968,60.90534979,60.90534979,67.5,66.66666667,67.68060837,67.68060837,83.26693227,83.26693227,82.8685259,70.8,70.4,75.20325203,74.79674797,73.09236948,72.69076305,73.09236948,72.95081967
Volken,Deutsches Sprachgebiet,Zürich,Bezirk Andelfingen,55.3030303,55.3030303,62.40601504,77.37226277,78.10218978,57.34265734,57.34265734,73.79310345,73.79310345,60.52631579,61.18421053,79.48717949,78.84615385,78.84615385,75.81699346,75.81699346,78.34394905,78.34394905,66.4516129,63.87096774,65.80645161,74.17218543
Bachenbülach,Deutsches Sprachgebiet,Zürich,Bezirk Bülach,30.35460993,30.35460993,32.13773314,35.15625,35.15625,27.80487805,27.80487805,31.36300417,31.36300417,36.07017544,36.21052632,55.52505148,55.52505148,55.38778312,42.78879016,42.72043746,41.46174863,41.39344262,36.64122137,36.36363636,36.64122137,42.96551724
Bassersdorf,Deutsches Sprachgebiet,Zürich,Bezirk Bülach,31.03980253,30.88552916,42.09074188,40.12623986,40.12623986,31.90984579,31.90984579,33.17591499,32.96930342,38.84204609,39.01068016,54.07202216,53.90581718,54.0166205,44.64188081,44.75123018,52.33324545,52.49143158,33.65087539,33.49639547,33.54788877,36.52770717
Bülach,Deutsches Sprachgebiet,Zürich,Bezirk Bülach,48.71284312,48.32882947,38.36547801,43.06122449,43.00680272,38.44915482,38.44915482,37.85341016,37.74621466,49.51326844,49.819976,58.31344471,58.31344471,57.46486343,46.15792263,46.06518283,51.03133159,50.88772846,39.8075923,39.59958398,39.82059282,49.08078716
Dietlikon,Deutsches Sprachgebiet,Zürich,Bezirk Bülach,33.16864295,32.87220026,38.07354377,38.10444874,38.10444874,30.41139241,30.41139241,34.51856514,34.39269981,36.92307692,36.98461539,53.59317905,53.56272838,53.4409257,43.35961189,43.11704063,43.47955834,43.39003283,31.94240376,31.85424625,31.91301793,35.54269175
Eglisau,Deutsches Sprachgebiet,Zürich,Bezirk Bülach,43.81806534,43.81806534,51.4619883,49.74554707,49.74554707,60.22584693,60.22584693,48.23455233,48.10844893,44.4375,44.5625,77.35495945,77.47972552,77.16781036,50.34396498,46.77923702,56.24219725,56.3670412,47.51861042,47.3325062,47.3325062,82.4432167
Embrach,Deutsches Sprachgebiet,Zürich,Bezirk Bülach,29.80012114,29.64869776,29.96742671,37.56970942,37.51100675,25.7672264,25.7672264,30.03725996,29.97993695,33.80992431,33.86599383,55.68627451,55.6302521,55.43417367,35.13286713,35.13286713,43.52030948,43.46504559,30.32650802,30.21582734,30.32650802,38.7434555
Freienstein-Teufen,Deutsches Sprachgebiet,Zürich,Bezirk Bülach,49.20454546,48.86363636,48.34437086,51.23318386,51.4573991,49.23747277,49.23747277,55.09761388,54.12147505,55.22703274,55.64941922,74.15611814,74.36708861,73.83966245,52.21052632,51.68421053,61.32478633,61.11111111,52.1601686,51.73867229,51.94942044,59.35550936
Glattfelden,Deutsches Sprachgebiet,Zürich,Bezirk Bülach,36.54990086,36.54990086,35.49443353,41.47909968,41.47909968,35.23447402,35.23447402,38.43730309,38.626339,42.41099313,42.47345409,59.1163659,58.92968264,58.99191039,45.59457794,45.65619224,51.54511743,51.60692213,43.33936106,43.15852923,43.27908379,51.22828041
Hochfelden,Deutsches Sprachgebiet,Zürich,Bezirk Bülach,36.68528864,36.12662942,36.46616541,39.25233645,39.25233645,40.25974026,40.25974026,38.58998145,38.58998145,41.81494662,42.17081851,64.13043478,64.49275362,63.76811594,47.31977819,46.58040665,44.25925926,44.25925926,37.13768116,36.95652174,37.13768116,50
Höri,Deutsches Sprachgebiet,Zürich,Bezirk Bülach,33.2963374,33.18534961,29.35267857,37.44394619,37.33183857,31.86936937,31.86936937,37.05357143,36.71875,37.5,37.93478261,51.89189189,52,51.56756757,36.25,36.25,38.01652893,37.80991736,31.66666667,31.5625,31.5625,39.00414938
Hüntwangen,Deutsches Sprachgebiet,Zürich,Bezirk Bülach,41.81818182,41.59090909,45.41387025,41.46341463,41.24168514,34.66666667,34.66666667,44.56762749,44.12416851,44.22222222,44.66666667,68.03455724,68.03455724,68.03455724,51.59914712,51.38592751,50.95541401,50.95541401,40.33613445,40.12605042,40.75630252,71.61016949
Kloten,Deutsches Sprachgebiet,Zürich,Bezirk Bülach,38.50049543,38.03809314,31.20488617,34.15388012,34.03245391,26.91033569,26.91033569,30.11902138,29.9977959,35.46613896,35.60905893,47.36842105,47.39035088,47.29166667,39.96262093,39.72075638,38.92346326,38.85795393,29.6276073,29.47471879,29.57300426,34.37263998
Lufingen,Deutsches Sprachgebiet,Zürich,Bezirk Bülach,51.52173913,51.08695652,54.09482759,58.78661088,59.20502092,50.20080321,50.20080321,54.32595573,53.92354125,55.09803922,55.29411765,72.95719844,72.95719844,73.15175097,59.5505618,59.36329588,62.7340824,62.7340824,50.72992701,51.09489051,51.09489051,55.81818182
Nürensdorf,Deutsches Sprachgebiet,Zürich,Bezirk Bülach,36.87872763,36.53081511,35.65259117,42.0754717,41.93396226,30.64066852,30.64066852,32.53456221,32.25806452,38.02382003,38.24437583,57.79049296,57.83450704,57.87852113,49.91349481,50.12975779,49.54288202,49.45581193,36.40331733,36.22872108,36.22872108,42.08695652
Oberembrach,Deutsches Sprachgebiet,Zürich,Bezirk Bülach,57.08502024,56.27530364,54.62365591,58.90688259,57.48987854,51.4,51.4,54.40313112,53.81604697,57.05996132,57.05996132,75.93688363,75.73964497,75.93688363,57.19921105,57.00197239,63.75968992,64.34108527,50.28790787,49.90403071,50.09596929,56.69902913
Opfikon,Deutsches Sprachgebiet,Zürich,Bezirk Bülach,31.38194341,31.05255278,33.28836931,34.50598802,34.50598802,34.77935677,34.77935677,29.36436885,29.33452701,34.4326188,34.46259931,45.26205136,45.17194774,45.20198228,45.35388299,45.17432291,38.61254613,38.53874539,30.44493071,30.31363968,30.44493071,34.94584838
Rafz,Deutsches Sprachgebiet,Zürich,Bezirk Bülach,42.64285714,42.57142857,42.98801973,42.70687237,42.70687237,40.46121593,40.46121593,45.50561798,45.85674157,44.87972509,44.87972509,67.73533424,67.3260573,67.87175989,51.56675749,51.63487738,52.80974949,52.8774543,46.64861205,45.42992553,46.64861205,63.97557666
Rorbas,Deutsches Sprachgebiet,Zürich,Bezirk Bülach,32.93807642,32.5428195,32.90653009,38.75476493,38.88182973,33.03571429,33.03571429,40.96692112,40.96692112,42.25181598,42.61501211,63.3213859,63.20191159,62.84348865,45.01187649,45.48693587,48.44868735,48.56801909,42.53285544,41.93548387,42.29390681,49.34289128
Wallisellen,Deutsches Sprachgebiet,Zürich,Bezirk Bülach,53.99887356,53.71726274,42.66518908,41.78814383,41.60766347,36.02458444,36.02458444,39.79662906,39.69912244,40.95092025,41.04852203,57.22849575,57.1169664,57.32608393,48.32983927,48.27393431,47.59395368,47.52461517,38.62126246,38.12292359,38.48283499,38.34254144
Wasterkingen,Deutsches Sprachgebiet,Zürich,Bezirk Bülach,46.11872146,46.11872146,49.08256881,45.2991453,44.01709402,42.2907489,42.2907489,54.27350427,53.41880342,54.50819672,55.32786885,72.13114754,72.13114754,72.54098361,52.61044177,51.40562249,63.671875,63.671875,51.9379845,50.7751938,51.1627907,68
Wil (ZH),Deutsches Sprachgebiet,Zürich,Bezirk Bülach,60.19417476,58.89967638,41.78403756,41.01382489,41.01382489,40.7239819,40.7239819,42.42878561,41.9790105,48.09941521,48.24561404,64.18128655,66.66666667,65.93567252,50.6512301,50.5065123,59.9137931,59.1954023,44.20600858,43.34763949,43.91988555,65.75931232
Winkel,Deutsches Sprachgebiet,Zürich,Bezirk Bülach,40.08163265,40.16326531,37.12,43.28832407,43.20889595,35.8044164,35.8044164,41.875,41.5625,52.70897833,52.94117647,58.74613003,58.74613003,58.59133127,53.93430099,53.8579068,50.18726592,50.11235955,43.23308271,43.15789474,43.23308271,67.02047005
Bachs,Deutsches Sprachgebiet,Zürich,Bezirk Dielsdorf,65.50522648,64.45993031,50.15873016,53.33333333,53.96825397,52.59938838,52.59938838,48.46625767,48.46625767,38.78787879,38.78787879,80.29411765,80.58823529,80.58823529,57.94117647,57.94117647,63.1884058,63.47826087,57.95454546,57.95454546,57.95454546,64.58923513
Boppelsen,Deutsches Sprachgebiet,Zürich,Bezirk Dielsdorf,40.88888889,40.22222222,33.91684902,47.59825328,47.59825328,32.61339093,32.61339093,39.06581741,39.06581741,39.958159,39.74895398,64.30062631,64.30062631,64.30062631,47.59916493,47.39039666,57.73195876,57.31958763,40.12219959,39.10386965,39.71486762,42.57028112
Buchs (ZH),Deutsches Sprachgebiet,Zürich,Bezirk Dielsdorf,29.75133215,30.9946714,34.18054338,41.84027778,41.84027778,27.20763723,27.20763723,33.87215283,33.72520206,32.7489042,32.93675642,50.8125,50.9375,50.6875,36.57492355,36.39143731,39.01098901,38.94993895,28.67783985,28.7399131,28.67783985,28.46199175
Dällikon,Deutsches Sprachgebiet,Zürich,Bezirk Dielsdorf,24.50424929,24.36260623,25.44045102,32.68156425,32.89106145,25.58139535,25.58139535,28.59135286,28.59135286,31.15093039,31.63335631,51.00207326,51.00207326,50.58742225,34.90631506,34.6981263,33.76801647,33.83665065,28.64976011,28.51267992,28.71830021,26.72064777
Dänikon,Deutsches Sprachgebiet,Zürich,Bezirk Dielsdorf,35.43165468,35.43165468,31.38297872,42.75979557,42.41908007,32.49158249,32.49158249,37.07482993,37.41496599,40.24604569,40.24604569,52.70506108,53.05410122,52.18150087,40.94903339,41.12478032,44.16961131,44.16961131,32.21238938,31.68141593,32.03539823,39.39393939
Dielsdorf,Deutsches Sprachgebiet,Zürich,Bezirk Dielsdorf,38.40648855,38.35877863,30.49411765,35.25763359,35.16221374,28.61826698,28.61826698,31.14905399,31.10290725,37.91554358,38.18508536,49.26350246,49.5908347,49.34533552,40.15017668,40.19434629,45.60943644,45.60943644,35.27114968,35.05422994,35.44468547,38.22393822
Hüttikon,Deutsches Sprachgebiet,Zürich,Bezirk Dielsdorf,38.66666667,37.77777778,39.9103139,42.92035398,42.92035398,38.26086957,38.26086957,41.73913044,42.17391304,48.34710744,48.76033058,60.99585062,60.99585062,60.99585062,56.01659751,56.01659751,55.18672199,55.60165975,41.07883817,40.66390042,41.07883817,47.5
Neerach,Deutsches Sprachgebiet,Zürich,Bezirk Dielsdorf,44.96124031,45.47803618,40.81381011,41.83313749,41.9506463,32.69012486,32.69012486,39.35340022,39.57636566,37.43427971,37.74973712,59.83263598,60.041841,60.14644352,47.12525667,47.02258727,46.0593654,46.0593654,34.97983871,34.87903226,34.97983871,42.64560711
Niederglatt,Deutsches Sprachgebiet,Zürich,Bezirk Dielsdorf,33.31441544,32.86038593,29.87438558,35.41887593,35.41887593,27.49340369,27.49340369,34.39958049,34.13738857,33.67556468,34.1889117,51.4518594,51.29903209,51.40091696,39.91008991,39.76023976,40.49875312,40.44887781,30.89267803,30.89267803,30.79237713,36.47767185
Niederhasli,Deutsches Sprachgebiet,Zürich,Bezirk Dielsdorf,32.62697612,32.15607131,29.65447836,34.52420701,34.22370618,25.35947712,25.35947712,33.22517846,33.03049968,34.21387651,34.56397199,52.48653785,52.39151093,52.35983529,40.55328513,40.39610186,41.45500157,41.48635936,31.07520199,30.85767558,30.95090118,37.596302
Niederweningen,Deutsches Sprachgebiet,Zürich,Bezirk Dielsdorf,58.62977602,58.2345191,53.39308579,61.91082803,63.31210191,57.6142132,57.6142132,59.27318296,58.89724311,55.92814371,56.40718563,73.54312354,73.54312354,73.65967366,63.44586729,62.86379511,65.81986143,65.58891455,59.35706085,59.12743972,58.66819747,58.20895522
Oberglatt,Deutsches Sprachgebiet,Zürich,Bezirk Dielsdorf,31.99300699,31.81818182,27.17013889,31.58557047,31.58557047,23.06397306,23.06397306,37.63575606,37.46867168,32.69391159,32.73561301,45.21232306,44.92089925,45.08742714,31.67986661,31.59649854,34.21828909,33.45975558,26.43968054,26.18747373,26.56578394,33.4317032
Oberweningen,Deutsches Sprachgebiet,Zürich,Bezirk Dielsdorf,53.24074074,53.24074074,46.08294931,51.91489362,52.12765957,40.43010753,40.43010753,48.10126582,49.78902954,54.35684647,53.94190871,73.95833333,75,74.375,53.7037037,53.49794239,56.6,57.2,50.29821074,50.09940358,49.90059642,51.35135135
Otelfingen,Deutsches Sprachgebiet,Zürich,Bezirk Dielsdorf,45.23809524,44.73684211,35.9223301,42.55319149,42.55319149,31.64835165,31.64835165,36.98030635,36.76148797,40.25289779,40.35827187,61.16303219,61.16303219,61.05919003,39.91853361,39.51120163,49.84863774,49.84863774,43.22968907,42.92878636,43.12938816,40.71499504
Regensberg,Deutsches Sprachgebiet,Zürich,Bezirk Dielsdorf,57.14285714,57.40740741,50.2631579,54.21052632,54.21052632,40.63324538,40.63324538,45.38461539,45.38461539,53.03430079,53.29815303,68.86543536,69.1292876,68.86543536,57.63157895,57.63157895,60.10638298,60.10638298,58.33333333,58.60215054,58.60215054,53.96825397
Regensdorf,Deutsches Sprachgebiet,Zürich,Bezirk Dielsdorf,29.9366809,29.78942718,27.54194019,35.99415205,35.90643275,25.1214128,25.1214128,28.88530834,28.9292515,34.83195111,34.94834861,45.70227569,45.70227569,45.571822,37.16929305,37.16929305,41.44347336,41.9086552,28.08564232,28.04366079,28.02966695,30.12098456
Rümlang,Deutsches Sprachgebiet,Zürich,Bezirk Dielsdorf,30.45734674,30.4249108,30.94027954,34.58646617,34.4924812,27.82608696,27.82608696,45.60810811,45.33169533,36.07418856,36.41421947,48.11175929,48.11175929,47.77402518,39.83990148,39.74753695,39.4963145,39.34275184,30.35491905,30.1369863,30.23038605,36
Schleinikon,Deutsches Sprachgebiet,Zürich,Bezirk Dielsdorf,62.37288136,62.03389831,48.35526316,57.37179487,57.69230769,46.81528662,46.81528662,53.05466238,53.37620579,55.82822086,55.52147239,78.05642633,78.05642633,78.05642633,59.93883792,59.93883792,63.25301205,64.45783133,48.17073171,46.95121951,47.86585366,51.68195719
Schöfflisdorf,Deutsches Sprachgebiet,Zürich,Bezirk Dielsdorf,60.80760095,59.85748219,49.65034965,51.79372197,52.24215247,36.40350877,36.40350877,42.51626898,42.73318872,46.58385093,46.79089027,68.29268293,68.49593496,68.49593496,50.30549898,50.71283096,51.32924335,50.9202454,40.68825911,40.48582996,40.68825911,46.47887324
Stadel,Deutsches Sprachgebiet,Zürich,Bezirk Dielsdorf,52.9685681,52.27008149,46.88221709,53.22580645,52.76497696,48.02259887,48.02259887,49.10714286,47.99107143,48.35526316,48.5745614,68.50053937,68.60841424,68.06903991,54.72689076,54.72689076,56.93121693,56.50793651,41.13989637,40.20725389,40.51813472,47.01030928
Steinmaur,Deutsches Sprachgebiet,Zürich,Bezirk Dielsdorf,57.49440716,56.2266965,32.8011611,38.05436338,37.98283262,27.77385159,27.77385159,33.26241135,32.62411348,35.82491583,35.95959596,53.31103679,53.31103679,53.17725753,37.90163934,37.63934426,46.90150033,46.57534247,32.77527366,32.19575016,32.77527366,37.30208993
Weiach,Deutsches Sprachgebiet,Zürich,Bezirk Dielsdorf,41.40271493,41.40271493,40.31531532,39.27765237,40.18058691,33.99122807,33.99122807,46.81318681,47.03296703,42.73318872,41.86550976,63.21585903,63.21585903,62.99559471,48.15618221,48.59002169,55.64853557,55.64853557,42.7672956,42.55765199,42.7672956,49.68152866
Bäretswil,Deutsches Sprachgebiet,Zürich,Bezirk Hinwil,35.53507425,35.02304148,35.71077226,43.14769976,42.71186441,33.46135382,33.46135382,35.79952267,35.4653938,36.25405656,37.36671303,57.41935484,57.78801843,57.46543779,43.55939918,43.83249886,49.88854213,49.66562639,36.62533215,36.22674934,36.58104517,39.38053097
Bubikon,Deutsches Sprachgebiet,Zürich,Bezirk Hinwil,38.17005545,38.17005545,42.3059668,46.21145374,46.34361234,38.73330461,38.73330461,43.95368782,43.82504288,42.04498978,42.16768916,61.08174055,61.08174055,61.00040667,49.17037637,49.08943748,51.08,51.16,40.79681275,40.83665339,40.9561753,39.38791733
Dürnten,Deutsches Sprachgebiet,Zürich,Bezirk Hinwil,34.15424498,34.08943616,36.00902644,43.06915062,43.19545311,31.52070819,31.52070819,37.89147287,37.89147287,39.44869832,39.60183767,55.93272171,55.96330275,55.90214067,41.2877632,41.16570034,43.13186813,43.04029304,36.62702043,36.47453492,36.50503202,38.88043809
Fischenthal,Deutsches Sprachgebiet,Zürich,Bezirk Hinwil,41.72736733,42.45577523,42.50513347,49.01960784,49.53560372,37.14574899,37.14574899,48.9318413,49.0335707,40.89521872,41.91251272,62.20871327,62.20871327,62.20871327,50.25536262,50.86823289,47.7295661,47.62865792,42.02020202,41.91919192,42.12121212,42.21770092
