Gemeinde,Sprachgebiet,Kanton,Bezirk,Artikel zur Gleichstellung von Mann und Frau,Konsumentenschutz-Artikel,Weiterführung der Finanzordnung,Revision des Strafgesetzes (Gewaltverbrechen),Ausländergesetz,Preisüberwachungs-Initiative,Gegenentwurf zur Preisüberwachungs-Initiative,Neuregelung der Treibstoffzölle,Energieartikel,Reform der Bürgerrechtsregelung in der Bundesverfassung,Bundesbeschluss über die Erleichterung gewisser Einbürgerungen,Einführung einer Schwerverkehrsabgabe,Einführung der Autobahnvignette,Zivildienst-Initiative,Initiative «gegen den Missbrauch des Bankgeheimnisses und der Bankenmacht»,Initiative «Gegen den Ausverkauf der Heimat»,Initiative «für eine Zukunft ohne weitere Atomkraftwerke»,Initiative «für eine umweltgerechte Energieversorgung»,Initiative «für einen wirksamen Schutz der Mutterschaft»,Radio- und Fernsehartikel,Bundesbeschluss über die Entschädigung der Opfer von Gewaltverbrechen,Aufhebung der Bundesbeiträge für den Primarschulunterricht
Zürich,Deutsches Sprachgebiet,Zürich,Bezirk Zürich,34.39965157,34.24090461,36.66173118,41.83407296,41.81930784,37.06403301,37.06403301,37.42909439,37.33427874,43.24342253,43.43537782,49.89161116,50.08227604,49.93140209,44.98774764,44.77841924,42.48267663,42.3696123,38.29167708,38.15379489,38.28376239,35.13257694
Stammheim,Deutsches Sprachgebiet,Zürich,Bezirk Andelfingen,60.3500761,59.8173516,60.73025335,66.0014782,65.41019956,58.51688693,58.51688693,64.54212454,64.32234432,68.8172043,69.390681,80.27162259,80.20014296,80.27162259,66.66666667,66.66666667,73.82785165,73.82785165,63.36357292,62.9448709,63.4333566,73.0125523
Wädenswil,Deutsches Sprachgebiet,Zürich,Bezirk Horgen,35.02464248,34.90344995,37.25348145,42.39730963,42.50140123,35.33428617,35.33428617,35.70749485,35.69957218,41.74636498,41.84744577,55.75570159,56.00309239,55.91032084,46.41181448,46.34258903,50.92287662,50.83863062,43.15514994,42.65664545,43.12447274,39.26825542
Elgg,Deutsches Sprachgebiet,Zürich,Bezirk Winterthur,43.38902148,43.0548926,46.00371747,51.85013876,51.9426457,43.4542949,43.4542949,51.23966942,50.82644628,47.73441005,48.13817856,66.88918558,67.06720071,67.20071206,51.21412804,51.21412804,52.24274406,52.19876869,47.65041722,47.29907773,47.60649978,49.7160332
Horgen,Deutsches Sprachgebiet,Zürich,Bezirk Horgen,35.21139539,34.62166576,38.10469314,47.97797436,47.90575916,39.69155844,39.69155844,42.76950835,43.12133514,48.988622,48.83510927,61.40084086,61.39189552,61.37400483,49.07399123,49.02925651,58.58205611,58.61790804,45.74268063,45.4830334,45.6531471,42.34539298
Illnau-Effretikon,Deutsches Sprachgebiet,Zürich,Bezirk Pfäffikon,34.97913769,34.79369495,37.81278962,41.37692839,41.3193645,32.69208748,32.69208748,46.0523322,47.12172924,40.2404446,40.44459567,57.5348679,57.51218959,57.37611974,49.54586739,49.23932788,46.66666667,46.81331077,49.55086459,49.21401303,49.6968336,42.41984136
Bauma,Deutsches Sprachgebiet,Zürich,Bezirk Pfäffikon,41.46224146,40.98124098,40.94562648,51.93396226,51.79245283,36.8787738,36.8787738,45.76036866,45.39170507,40.25559105,40.34687357,62.78229449,62.69196025,62.64679314,57.07885305,56.76523298,52.21827862,52.39574091,41.79039301,41.65938865,41.70305677,41.98635976
Wiesendangen,Deutsches Sprachgebiet,Zürich,Bezirk Winterthur,57.85802216,57.61181781,58.65809562,63.87020182,63.39533043,58.52998066,58.52998066,61.11753372,61.07899807,59.60536113,59.86597171,77.45750185,77.56836659,77.3466371,67.69734449,67.5882139,66.60636758,66.35311143,62.97365572,62.46842295,62.86539156,64.13471874
Aarberg,Deutsches Sprachgebiet,Bern / Berne,Verwaltungskreis Seeland,32.96921549,32.96921549,29.3740759,42.75895925,42.75895925,35.09286413,35.09286413,32.88069835,32.88069835,38.75782378,38.75782378,62.84755513,62.84755513,62.84755513,42.67942584,42.67942584,43.75,43.75,37.16312057,37.16312057,37.16312057,34.02548372
Bargen (BE),Deutsches Sprachgebiet,Bern / Berne,Verwaltungskreis Seeland,28.7593985,28.7593985,24.24242424,39.10614525,39.10614525,23.30827068,23.30827068,30.82706767,30.82706767,35.8490566,35.8490566,57.64925373,57.64925373,57.64925373,36.68528864,36.68528864,36.89138577,36.89138577,30.62730627,30.62730627,30.62730627,26.987061
